Provinsi,Kabupaten/Kota,Kecamatan,Kelurahan/Desa,Jumlah Penduduk,Jumlah Kepala Keluarga,Perpindahan Penduduk,Jumlah Meninggal,Perubahan Data,Wajib KTP,Jumlah Rekam Wajib KTP,Islam,Kristen,Katholik,Hindu,Buddha,Konghuchu,Kepercayaan terhadap Tuhan YME,Laki-laki,Perempuan,Belum Kawin,Kawin,Cerai Hidup,Cerai Mati,Usia 0-4 Tahun,Usia 5-9 Tahun,Usia 10-14 Tahun,Usia 15-19 Tahun,Usia 20-24 Tahun,Usia 25-29 Tahun,Usia 30-34 Tahun,Usia 35-39 Tahun,Usia 40-44 Tahun,Usia 45-49 Tahun,Usia 50-54 Tahun,Usia 55-59 Tahun,Usia 60-64 Tahun,Usia 65-69 Tahun,Usia 70-74 Tahun,Usia 75 Tahun ke Atas,Lahir Tahun 2020,Lahir Sebelum Tahun 2020,Lahir Tahun 2021,Lahir Sebelum Tahun 2021,Lahir Tahun 2022,Lahir Sebelum Tahun 2022,Lahir Tahun 2023,Lahir Sebelum Tahun 2023,Lahir Tahun 2024,Lahir Sebelum Tahun 2024,Pertumbuhan Penduduk Tahun 2020 (%),Pertumbuhan Penduduk Tahun 2021 (%),Pertumbuhan Penduduk Tahun 2022 (%),Pertumbuhan Penduduk Tahun 2023 (%),Pertumbuhan Penduduk Tahun 2024 (%),Usia Pendidikan 3-4 Tahun,Usia Pendidikan 5 Tahun,Usia Pendidikan 6-11 Tahun,Usia Pendidikan 12-14 Tahun,Usia Pendidikan 15-17 Tahun,Usia Pendidikan 18-22 Tahun,Tidak/Belum Sekolah,Belum Tamat SD,Tamat SD,SLTP,SLTA,D1 dan D2,D3,S1,S2,S3,Golongan Darah A,Golongan Darah B,Golongan Darah AB,Golongan Darah O,Golongan Darah A+,Golongan Darah A-,Golongan Darah B+,Golongan Darah B-,Golongan Darah AB+,Golongan Darah AB-,Golongan Darah O+,Golongan Darah O-,Golongan Darah Tidak Diketahui,Belum/Tidak Bekerja,Nelayan,Pelajar dan Mahasiswa,Pensiunan,Perdagangan,Mengurus Rumah Tannga,Wiraswasta,Guru,Perawat,Pengacara,Pekerjaan Lainnya
JAWA TIMUR,KAB. JEMBER,SUMBERSARI,WIROLEGI,"14,594","5,016",41,33,"12,711","10,938","10,938","14,412",96,68,13,5,0,0,"7,292","7,302","5,725","7,805",331,733,922,"1,134","1,096","1,026","1,111","1,070","1,194","1,053","1,074",971,952,863,738,505,425,460,226,"13,672",216,"13,898",172,"14,114",207,"14,286",101,"14,493",2,2,1,1,1,442,235,"1,302",693,644,995,"4,252","1,739","3,932","1,665","2,215",70,130,554,35,2,117,186,54,618,15,0,2,1,1,1,4,4,"13,591","4,285",2,"1,415",68,158,"3,392","2,487",120,17,,
JAWA TIMUR,KAB. JEMBER,WULUHAN,DUKUHDEMPOK,"17,465","6,209",26,71,"15,764","13,625","13,625","17,345",37,68,6,2,0,7,"8,850","8,615","6,806","9,281",430,948,959,"1,134","1,203","1,168","1,324","1,331","1,163","1,143","1,297","1,148","1,323","1,252","1,023",734,581,682,229,"16,506",220,"16,735",205,"16,955",188,"17,160",117,"17,348",1,1,1,1,1,449,216,"1,417",704,709,"1,242","4,133","2,314","3,519","2,879","3,472",120,188,804,35,1,196,247,97,424,7,0,4,0,1,1,10,9,"16,469","4,512",9,"2,075",79,477,"2,889","3,228",314,33,,
JAWA TIMUR,KAB. JEMBER,RAMBIPUJI,NOGOSARI,"21,133","7,460",51,32,"18,008","16,420","16,420","21,081",39,3,1,9,0,0,"10,689","10,444","7,787","11,863",467,"1,016","1,132","1,402","1,576","1,190","1,685","1,631","1,469","1,378","1,545","1,520","1,685","1,369","1,220",870,657,804,290,"20,001",272,"20,291",234,"20,563",215,"20,797",121,"21,012",1,1,1,1,1,562,308,"1,665","1,005",724,"1,430","5,579","2,273","8,362","2,656","1,907",41,71,230,14,0,76,80,29,125,0,0,3,0,0,1,8,4,"20,807","5,383",5,"2,168",30,223,"3,057","3,427",106,7,,
JAWA TIMUR,KAB. JEMBER,KALIWATES,JEMBERKIDUL,"18,815","6,464",69,79,"17,314","14,543","14,543","17,456",685,534,6,128,6,0,"9,193","9,622","8,273","8,666",536,"1,340",960,"1,279","1,444","1,285","1,535","1,388","1,169","1,316","1,357","1,326","1,226","1,236",997,849,653,795,222,"17,855",241,"18,077",197,"18,318",177,"18,515",123,"18,692",1,1,1,1,1,463,241,"1,602",880,766,"1,412","4,746","1,933","2,295","2,589","5,149",150,455,"1,365",115,18,413,683,210,"1,087",42,2,6,0,5,3,9,17,"16,338","5,416",3,"2,512",205,318,"3,376","3,615",190,24,2,
JAWA TIMUR,KAB. JEMBER,KALIWATES,KEPATIHAN,"15,851","5,560",67,64,"14,497","12,276","12,276","14,172",796,707,10,160,6,0,"7,727","8,124","6,985","7,172",482,"1,212",756,"1,093","1,242","1,090","1,165","1,009",933,"1,083","1,233","1,111","1,012","1,048",860,830,596,790,211,"15,095",168,"15,306",152,"15,474",125,"15,626",100,"15,751",1,1,1,1,1,379,222,"1,341",772,654,"1,129","3,862","1,606","1,633","2,265","4,709",125,418,"1,149",75,9,346,548,135,"1,013",42,0,10,0,6,0,11,8,"13,732","4,589",2,"1,961",244,285,"2,859","3,105",133,17,1,
JAWA TIMUR,KAB. JEMBER,BALUNG,BALUNGKIDUL,"5,393","1,907",9,10,"4,806","4,113","4,113","5,341",26,16,3,7,0,0,"2,664","2,729","2,124","2,852",139,278,312,379,410,379,413,385,409,381,437,360,395,366,279,187,108,193,90,"5,081",59,"5,171",53,"5,230",59,"5,283",51,"5,342",2,1,1,1,1,149,68,477,244,235,386,"1,492",848,"1,651",751,546,11,24,64,6,0,23,23,5,22,0,0,0,0,2,1,0,4,"5,313","1,675",2,488,11,117,"1,050","1,251",16,5,,
JAWA TIMUR,KAB. JEMBER,GUMUKMAS,PURWOASRI,"8,854","3,123",10,7,"7,503","6,969","6,969","8,838",15,0,1,0,0,0,"4,474","4,380","3,201","4,950",222,481,388,597,644,547,648,608,608,603,692,685,718,612,523,392,284,305,100,"8,466",84,"8,566",98,"8,650",57,"8,748",49,"8,805",1,1,1,1,1,184,103,724,414,330,610,"2,101","1,074","3,327","1,270",885,16,39,132,10,0,32,18,10,52,1,0,2,0,0,0,5,2,"8,732","2,182",5,849,22,55,"1,065","1,804",65,4,,
JAWA TIMUR,KAB. JEMBER,JOMBANG,JOMBANG,"13,190","4,774",36,21,"12,012","10,428","10,428","13,123",46,14,6,1,0,0,"6,632","6,558","5,057","6,963",345,825,632,836,904,869,"1,021",891,854,860,962,914,"1,074","1,062",826,613,423,449,129,"12,558",153,"12,687",148,"12,840",130,"12,988",72,"13,118",1,1,1,1,1,282,147,"1,069",524,508,931,"2,789","1,107","3,956","2,435","2,266",30,97,479,29,2,98,215,85,130,1,0,2,0,1,0,3,6,"12,649","2,848",1,"1,760",49,79,"1,443","3,423",144,11,,
JAWA TIMUR,KAB. JEMBER,JOMBANG,SARIMULYO,"4,091","1,473",14,5,"3,811","3,229","3,229","4,088",3,0,0,0,0,0,"2,046","2,045","1,548","2,213",103,227,195,273,272,305,300,310,272,262,289,293,336,288,249,159,131,157,47,"3,896",42,"3,943",44,"3,985",36,"4,029",26,"4,065",1,1,1,1,1,89,55,328,162,167,307,903,403,"1,355",789,562,13,18,48,0,0,16,20,3,43,1,0,1,0,0,0,0,2,"4,005",947,1,527,9,18,548,761,14,,,
JAWA TIMUR,KAB. JEMBER,UMBULSARI,GUNUNGSARI,"7,773","2,866",18,12,"7,171","6,201","6,201","7,560",34,0,179,0,0,0,"3,887","3,886","2,775","4,363",194,441,360,498,504,503,536,551,501,490,573,620,641,692,506,306,246,246,98,"7,413",87,"7,511",72,"7,598",64,"7,670",39,"7,734",1,1,1,1,1,185,109,569,324,279,538,"2,107","1,065","1,815","1,290","1,175",38,63,206,14,0,72,165,30,207,5,0,1,0,0,0,0,2,"7,291","1,961",2,775,21,189,"1,269","1,562",56,8,,
JAWA TIMUR,KAB. JEMBER,KENCONG,KENCONG,"26,600","9,432",75,197,"23,619","20,764","20,764","26,293",235,42,13,15,1,1,"13,276","13,324","10,482","13,758",765,"1,595","1,319","1,745","1,990","1,637","2,174","1,935","1,803","1,655","2,031","1,969","2,100","1,826","1,566","1,157",812,881,360,"25,281",301,"25,641",261,"25,942",242,"26,203",155,"26,445",1,1,1,1,1,661,347,"2,143","1,245",980,"1,936","7,026","2,644","7,367","4,315","4,327",82,156,645,34,4,185,266,80,401,7,1,7,1,0,2,10,7,"25,633","7,386",7,"2,732",117,603,"4,833","7,186",176,15,1,
JAWA TIMUR,KAB. JEMBER,GUMUKMAS,MENAMPU,"12,932","4,707",17,20,"11,127","10,109","10,109","12,896",20,10,1,5,0,0,"6,526","6,406","4,751","7,164",311,706,619,914,930,764,936,937,944,877,958,913,"1,042",902,762,553,430,451,166,"12,313",135,"12,479",158,"12,614",95,"12,772",65,"12,867",1,1,1,1,1,301,187,"1,090",567,456,851,"3,364","1,457","4,358","2,076","1,354",40,59,213,11,0,57,55,18,77,2,0,3,0,1,0,5,2,"12,712","3,458",25,"1,181",22,192,"1,845","2,604",74,7,,
JAWA TIMUR,KAB. JEMBER,UMBULSARI,SUKORENO,"9,285","3,345",20,12,"8,433","7,293","7,293","8,763",31,124,359,0,0,8,"4,663","4,622","3,484","5,111",207,483,438,602,661,610,696,642,573,611,796,738,772,698,525,377,251,295,109,"8,847",99,"8,956",96,"9,055",80,"9,151",54,"9,231",1,1,1,1,1,208,127,703,433,359,650,"2,205",953,"2,938","1,506","1,410",30,66,165,12,0,51,47,19,105,1,0,0,1,0,0,2,1,"9,058","2,302",1,"1,040",22,146,"1,392","1,293",60,9,,
JAWA TIMUR,KAB. JEMBER,GUMUKMAS,BAGOREJO,"7,522","2,703",22,9,"6,741","5,877","5,877","7,518",2,0,2,0,0,0,"3,777","3,745","2,975","3,924",189,434,372,489,562,501,558,539,464,521,605,527,593,518,457,341,222,253,99,"7,150",89,"7,249",73,"7,338",74,"7,411",37,"7,485",1,1,1,1,0,188,92,631,328,289,534,"1,711",898,"1,865","1,314","1,324",25,51,304,29,1,33,45,19,68,0,0,2,0,0,0,2,0,"7,353","2,008",4,811,33,93,"1,257","1,376",96,8,,
JAWA TIMUR,KAB. JEMBER,UMBULSARI,GADINGREJO,"5,566","1,997",18,10,"4,993","4,373","4,373","5,548",14,4,0,0,0,0,"2,709","2,857","2,076","3,024",127,339,270,366,392,343,423,396,351,381,426,407,460,410,326,225,201,189,55,"5,296",65,"5,351",59,"5,416",57,"5,475",34,"5,532",1,1,1,1,1,120,71,437,250,198,391,"1,371",620,"1,654",951,858,11,28,67,6,0,22,32,14,29,3,0,2,0,1,0,1,2,"5,460","1,490",2,513,17,40,852,"1,076",34,5,,
JAWA TIMUR,KAB. JEMBER,UMBULSARI,TANJUNGSARI,"5,500","1,970",15,9,"4,843","4,262","4,261","5,439",55,5,0,1,0,0,"2,791","2,709","2,143","2,928",148,281,273,365,425,366,389,354,384,398,429,391,447,420,301,220,157,181,71,"5,227",77,"5,298",51,"5,375",45,"5,426",29,"5,471",1,1,1,1,1,148,67,474,249,226,368,"1,342",425,"1,604","1,065",914,14,25,104,7,0,34,34,15,50,2,0,3,0,0,0,2,3,"5,357","1,485",3,527,11,65,797,"1,256",43,3,,
JAWA TIMUR,KAB. JEMBER,UMBULSARI,PALERAN,"15,691","5,466",32,40,"13,789","12,081","12,081","15,676",9,1,4,1,0,0,"7,897","7,794","6,109","8,387",385,810,855,"1,080","1,183",996,"1,282","1,227","1,129","1,036","1,118","1,137","1,196","1,069",861,569,418,535,227,"14,836",165,"15,063",192,"15,228",161,"15,420",110,"15,581",2,1,1,1,1,392,210,"1,346",707,595,"1,112","4,041","1,971","4,410","2,695","2,085",46,71,342,29,1,101,147,138,222,5,0,3,0,1,0,3,5,"15,066","4,265",3,"1,705",18,164,"2,393","3,212",117,19,,
JAWA TIMUR,KAB. JEMBER,TANGGUL,KLATAKAN,"10,273","3,717",14,19,"8,792","7,815","7,815","10,251",8,12,1,1,0,0,"5,098","5,175","3,917","5,522",259,575,580,733,833,625,754,775,754,685,690,731,719,657,561,425,353,398,140,"9,693",134,"9,833",126,"9,967",104,"10,093",76,"10,197",1,1,1,1,1,274,149,930,487,374,685,"2,851","1,104","3,746","1,289","1,060",21,37,157,8,0,47,40,16,74,5,0,0,0,0,0,3,3,"10,085","2,957",2,951,39,61,"2,029","2,139",59,3,2,
JAWA TIMUR,KAB. JEMBER,TANGGUL,DARUNGAN,"14,090","5,154",24,6,"11,737","10,832","10,831","14,082",6,2,0,0,0,0,"6,970","7,120","5,094","8,003",234,759,660,"1,025","1,111",835,"1,019",968,948,"1,019","1,059","1,117","1,095",950,822,544,409,509,172,"13,430",164,"13,602",152,"13,766",102,"13,918",70,"14,020",1,1,1,1,0,336,221,"1,246",669,531,906,"4,005","2,809","5,351","1,138",672,16,22,69,8,0,87,150,46,70,2,1,0,0,1,1,2,1,"13,729","3,530",2,"1,398",27,129,"2,037","2,374",51,2,,
JAWA TIMUR,KAB. JEMBER,TANGGUL,MANGGISAN,"12,153","4,253",27,12,"10,274","9,215","9,215","12,136",11,5,1,0,0,0,"6,047","6,106","4,684","6,568",240,661,644,974,939,743,956,899,809,831,927,889,840,727,625,517,377,456,146,"11,509",164,"11,655",164,"11,819",106,"11,983",64,"12,089",1,1,1,1,1,310,188,"1,136",589,466,838,"3,801","1,521","3,975","1,307","1,270",30,36,206,7,0,51,48,18,114,0,1,0,1,1,0,1,2,"11,916","3,610",1,"1,051",39,120,"2,270","2,389",65,12,,
JAWA TIMUR,KAB. JEMBER,SEMBORO,PONDOKJOYO,"6,247","2,248",16,9,"5,514","4,736","4,735","6,246",1,0,0,0,0,0,"3,157","3,090","2,332","3,491",139,285,364,456,519,378,514,415,476,420,488,468,437,392,351,251,146,172,95,"5,883",61,"5,978",87,"6,039",74,"6,126",47,"6,200",2,1,1,1,1,156,90,551,334,208,464,"1,795",851,"2,306",764,449,11,12,55,4,0,25,13,6,30,0,0,1,0,0,0,0,3,"6,169","1,782",,521,2,84,"1,105","1,139",18,3,,
JAWA TIMUR,KAB. JEMBER,SEMBORO,REJOAGUNG,"2,393",908,3,39,"2,254","1,936","1,936",153,"2,188",52,0,0,0,0,"1,200","1,193",915,"1,270",34,174,109,123,159,142,197,168,156,147,151,147,190,176,169,121,96,142,28,"2,284",22,"2,312",17,"2,334",29,"2,351",13,"2,380",1,1,1,1,1,50,25,161,96,84,180,456,191,630,400,596,19,22,76,3,0,23,28,6,35,2,0,1,0,0,0,0,2,"2,296",637,,237,25,28,540,181,11,11,,
JAWA TIMUR,KAB. JEMBER,SEMBORO,SIDOMULYO,"7,277","2,536",15,20,"6,355","5,544","5,544","7,271",5,1,0,0,0,0,"3,639","3,638","2,853","3,918",118,388,414,533,589,420,529,528,505,558,564,499,529,475,416,291,194,233,106,"6,863",91,"6,969",91,"7,060",76,"7,151",50,"7,227",2,1,1,1,1,197,124,634,364,244,481,"1,996",754,"2,270","1,140",944,13,30,125,5,0,58,97,25,101,2,0,0,0,0,1,0,5,"6,988","2,123",,616,7,58,936,"1,232",60,5,,
JAWA TIMUR,KAB. JEMBER,PUGER,PUGERKULON,"16,258","5,659",57,32,"14,111","12,397","12,397","16,150",74,18,0,8,0,8,"8,303","7,955","6,473","8,711",360,714,879,"1,175","1,272","1,093","1,238","1,135","1,167","1,179","1,361","1,238","1,134","1,067",866,585,464,405,215,"15,379",184,"15,594",177,"15,778",184,"15,955",119,"16,139",1,1,1,1,1,399,225,"1,450",772,655,"1,165","3,846","1,472","4,638","3,260","2,583",60,94,291,10,4,173,148,77,262,3,0,6,0,6,1,2,3,"15,577","4,354","1,494","1,815",41,205,"3,584","3,223",126,9,,
JAWA TIMUR,KAB. JEMBER,PUGER,KASIYAN TIMUR,"13,289","4,582",47,35,"11,583","10,374","10,374","13,098",136,47,2,6,0,0,"6,641","6,648","5,126","7,058",294,811,633,892,985,863,"1,037",967,909,885,966,973,"1,022",871,750,528,457,551,167,"12,656",142,"12,823",132,"12,965",132,"13,097",60,"13,229",1,1,1,1,0,309,160,"1,122",595,519,937,"3,155","1,063","4,186","2,370","2,071",30,66,319,29,0,113,223,87,311,6,2,6,0,2,2,5,5,"12,527","3,246",27,"1,661",40,275,"2,534","3,519",146,13,,
JAWA TIMUR,KAB. JEMBER,BANGSALSARI,BANJARSARI,"4,847","1,822",7,3,"4,000","3,766","3,766","4,847",0,0,0,0,0,0,"2,355","2,492","1,682","2,760",89,316,237,347,343,298,346,283,320,370,335,389,356,279,343,222,177,202,64,"4,610",57,"4,674",52,"4,731",44,"4,783",20,"4,827",1,1,1,1,0,121,68,394,228,180,317,"1,221",850,"2,020",418,282,9,9,35,3,0,26,30,4,50,0,0,0,0,0,1,0,1,"4,735","1,283",,334,3,30,599,"1,110",15,3,,
JAWA TIMUR,KAB. JEMBER,BANGSALSARI,BADEAN,"8,115","2,897",22,8,"6,878","6,176","6,176","8,114",1,0,0,0,0,0,"4,019","4,096","2,899","4,718",159,339,425,621,620,518,578,556,547,580,584,567,554,543,512,352,265,293,111,"7,690",107,"7,801",91,"7,908",75,"7,999",41,"8,074",1,1,1,1,1,218,110,739,392,304,542,"2,593","1,049","3,258",656,491,10,14,41,3,0,14,8,4,28,0,0,0,0,0,0,1,1,"8,059","2,298",,583,7,34,936,"1,390",18,2,,
JAWA TIMUR,KAB. JEMBER,BALUNG,BALUNGKULON,"13,688","4,691",41,39,"12,102","10,504","10,504","13,653",22,10,2,1,0,0,"6,906","6,782","5,512","7,055",382,739,782,973,"1,026",916,"1,116",990,926,987,"1,019",919,988,887,736,542,420,461,206,"12,906",177,"13,112",158,"13,289",137,"13,447",104,"13,584",2,1,1,1,1,383,194,"1,175",630,538,"1,014","3,615","1,503","4,026","1,925","2,046",62,104,391,16,0,61,72,19,154,12,0,4,0,0,0,2,4,"13,360","3,940",15,"1,382",40,222,"2,428","2,997",184,15,,
JAWA TIMUR,KAB. JEMBER,WULUHAN,LOJEJER,"21,523","7,516",52,27,"19,131","16,838","16,838","21,480",25,7,5,1,0,5,"10,973","10,550","8,089","11,961",571,902,"1,057","1,448","1,530","1,431","1,565","1,593","1,580","1,625","1,730","1,560","1,611","1,403","1,205",797,652,736,310,"20,466",245,"20,776",224,"21,021",187,"21,245",91,"21,432",2,1,1,1,0,555,274,"1,782",922,875,"1,419","5,333","2,888","6,690","3,814","2,377",68,88,255,10,0,102,145,81,243,10,1,1,4,1,2,11,14,"20,908","5,502",189,"2,290",21,383,"3,795","3,207",79,11,,
JAWA TIMUR,KAB. JEMBER,WULUHAN,GLUNDENGAN,"16,245","5,749",39,57,"14,147","12,712","12,712","16,215",17,11,2,0,0,0,"8,247","7,998","5,985","8,912",371,977,854,"1,068","1,163",973,"1,289","1,187","1,148","1,160","1,247","1,199","1,143","1,103",909,663,551,588,217,"15,391",202,"15,608",165,"15,810",157,"15,975",113,"16,132",1,1,1,1,1,419,229,"1,291",711,574,"1,129","4,857","2,736","4,762","1,957","1,595",31,73,222,12,0,73,152,134,132,4,0,4,0,1,0,6,21,"15,718","4,288",5,"1,496",17,254,"1,942","4,292",74,9,,
JAWA TIMUR,KAB. JEMBER,PANTI,PAKIS,"7,959","2,872",15,8,"6,542","6,017","6,016","7,955",1,1,1,0,0,1,"4,002","3,957","2,936","4,472",194,357,418,646,638,429,616,518,565,608,620,577,576,432,419,295,237,365,104,"7,541",89,"7,645",115,"7,734",67,"7,849",43,"7,916",1,1,1,1,1,193,114,772,398,275,503,"2,668","1,742","2,518",587,382,14,5,39,3,1,36,27,14,57,1,0,0,0,0,0,0,5,"7,819","2,386",,486,2,114,"1,594","1,395",25,2,,
JAWA TIMUR,KAB. JEMBER,RAMBIPUJI,PECORO,"7,553","2,630",21,11,"6,276","5,756","5,756","7,527",19,4,3,0,0,0,"3,794","3,759","2,930","4,044",149,430,414,561,578,465,586,543,599,515,564,548,555,477,369,267,198,314,103,"7,139",97,"7,242",87,"7,339",73,"7,426",54,"7,499",1,1,1,1,1,200,116,673,350,292,488,"2,166",943,"2,479",928,816,24,41,149,7,0,32,35,10,48,8,0,3,0,1,0,2,3,"7,411","2,267",1,631,30,144,"1,173","2,134",54,15,,
JAWA TIMUR,KAB. JEMBER,RAMBIPUJI,RAMBIGUNDAM,"9,040","3,150",25,24,"7,902","6,929","6,929","8,904",86,34,3,13,0,0,"4,468","4,572","3,615","4,678",211,536,487,653,733,559,711,663,651,614,666,603,626,633,461,388,280,312,114,"8,553",111,"8,667",103,"8,778",95,"8,881",64,"8,976",1,1,1,1,1,225,151,811,424,307,641,"2,273","1,001","2,289","1,295","1,692",55,80,332,22,1,79,116,19,194,5,0,1,0,1,1,4,2,"8,618","2,509",2,"1,019",65,112,"1,678","1,905",92,10,1,
JAWA TIMUR,KAB. JEMBER,PANTI,KEMUNING SARI LOR,"7,672","2,684",23,18,"6,377","5,798","5,798","7,669",2,0,0,1,0,0,"3,845","3,827","2,989","4,094",185,404,394,627,620,453,597,516,537,546,619,536,536,446,386,284,229,346,104,"7,278",80,"7,382",87,"7,462",83,"7,549",40,"7,632",1,1,1,1,1,184,115,766,366,277,523,"2,378","1,236","2,484",847,617,10,15,79,6,0,27,20,8,33,0,0,0,0,0,0,0,3,"7,581","2,354",3,612,8,119,"1,303","1,955",26,2,,
JAWA TIMUR,KAB. JEMBER,AJUNG,PANCAKARYA,"12,760","4,445",43,19,"11,329","9,702","9,702","12,731",26,1,1,0,0,1,"6,394","6,366","4,939","6,870",295,656,736,936,971,824,"1,006",989,972,876,935,846,933,855,613,495,357,416,174,"12,024",189,"12,198",153,"12,387",140,"12,540",80,"12,680",1,2,1,1,1,363,186,"1,150",571,504,902,"3,565","1,256","3,960","1,964","1,594",43,85,280,9,4,64,65,27,116,5,0,4,0,0,1,4,3,"12,471","3,516",1,"1,366",27,276,"1,862","2,425",82,17,,
JAWA TIMUR,KAB. JEMBER,AJUNG,WIROWONGSO,"11,014","3,854",42,16,"9,556","8,129","8,129","11,007",2,5,0,0,0,0,"5,602","5,412","4,331","5,912",259,512,727,894,921,668,919,824,856,864,804,715,719,688,497,336,283,299,185,"10,287",168,"10,472",169,"10,640",137,"10,809",68,"10,946",2,2,2,1,1,353,181,"1,027",607,406,760,"3,547","1,301","3,491","1,384","1,094",16,38,138,5,0,50,64,29,89,3,1,3,0,0,0,2,1,"10,772","3,613",2,927,11,142,"2,143","2,037",55,9,1,
JAWA TIMUR,KAB. JEMBER,AJUNG,ROWOINDAH,"5,845","2,077",19,11,"4,877","4,364","4,364","5,842",0,3,0,0,0,0,"2,917","2,928","2,190","3,240",101,314,374,474,462,344,458,447,443,431,390,386,382,352,264,205,174,259,81,"5,471",88,"5,552",90,"5,640",81,"5,730",34,"5,811",1,2,2,1,1,169,85,576,275,217,393,"1,717",732,"1,798",863,597,9,28,99,2,0,15,22,4,53,1,0,0,0,0,0,1,0,"5,749","1,742",,511,13,46,"1,311",841,49,4,,
JAWA TIMUR,KAB. JEMBER,TEMPUREJO,ANDONGREJO,"6,092","2,257",18,9,"5,254","4,622","4,622","6,086",4,0,2,0,0,0,"3,056","3,036","2,262","3,459",121,250,318,441,494,408,428,383,434,441,470,452,469,396,327,254,170,207,76,"5,774",80,"5,850",75,"5,930",60,"6,005",27,"6,065",1,1,1,1,0,156,94,542,299,259,400,"1,735",949,"2,314",665,354,10,16,49,0,0,17,34,11,49,0,0,0,0,0,0,2,1,"5,978","1,683",44,544,1,41,"1,087",934,19,3,,
JAWA TIMUR,KAB. JEMBER,KALIWATES,KEBONAGUNG,"7,155","2,487",29,22,"6,416","5,441","5,441","7,080",43,29,2,0,0,1,"3,568","3,587","2,902","3,629",197,427,399,548,536,469,542,506,499,549,581,496,501,423,357,282,223,244,103,"6,756",84,"6,859",75,"6,943",86,"7,018",51,"7,104",2,1,1,1,1,187,109,649,326,280,479,"1,963",927,"1,639",944,"1,306",40,84,230,21,1,76,132,45,267,4,0,2,0,2,1,2,0,"6,624","2,176",1,671,50,84,"1,506","1,145",44,4,,
JAWA TIMUR,KAB. JEMBER,KALIWATES,SEMPUSARI,"13,240","4,351",68,53,"12,072","9,781","9,781","11,616",760,745,17,99,3,0,"6,545","6,695","5,605","6,712",293,630,809,"1,088","1,119",934,945,913,"1,040","1,070","1,118",935,822,710,584,465,334,354,190,"12,431",174,"12,621",175,"12,795",147,"12,970",123,"13,117",2,1,1,1,1,364,215,"1,318",674,569,935,"3,770","1,391","1,916","1,334","2,830",126,425,"1,316",119,13,319,455,106,746,31,2,19,0,3,1,11,5,"11,542","4,121",2,"1,476",115,141,"2,364","2,164",179,58,3,
JAWA TIMUR,KAB. JEMBER,PATRANG,JUMERTO,"3,196","1,146",5,9,"2,744","2,440","2,440","3,186",6,0,4,0,0,0,"1,612","1,584","1,165","1,760",73,198,179,238,243,212,239,202,229,236,230,227,225,186,151,147,102,150,41,"3,017",31,"3,058",42,"3,089",43,"3,131",22,"3,174",1,1,1,1,1,72,58,276,147,131,220,"1,041",416,"1,041",336,303,3,12,43,1,0,174,281,113,43,3,0,0,0,0,0,0,3,"2,579",952,,226,7,68,660,408,20,2,,
JAWA TIMUR,KAB. JEMBER,PATRANG,GEBANG,"27,110","9,197",95,85,"24,631","20,470","20,470","26,448",440,168,12,36,2,4,"13,473","13,637","11,539","13,188",748,"1,635","1,563","2,040","2,141","1,899","2,085","1,966","1,979","1,949","2,042","1,893","1,803","1,669","1,354","1,072",736,919,370,"25,547",357,"25,917",323,"26,274",303,"26,597",210,"26,900",1,1,1,1,1,727,408,"2,446","1,327","1,183","1,901","7,417","3,042","4,419","3,592","6,408",165,477,"1,475",109,6,398,710,219,"1,422",38,1,17,1,10,1,23,12,"24,258","8,286",2,"3,013",284,295,"5,375","4,410",299,46,5,
JAWA TIMUR,KAB. JEMBER,PATRANG,JEMBERLOR,"19,268","6,671",50,74,"17,937","14,819","14,819","18,617",377,233,21,20,0,0,"9,476","9,792","8,284","9,122",552,"1,310","1,017","1,334","1,519","1,316","1,448","1,387","1,355","1,302","1,466","1,315","1,229","1,203","1,011",840,641,885,263,"18,251",221,"18,514",202,"18,735",200,"18,937",131,"19,137",1,1,1,1,1,484,271,"1,651",931,772,"1,383","4,811","1,969","2,243","2,371","5,648",171,493,"1,425",127,10,524,877,293,"1,315",38,0,17,0,3,1,8,10,"16,182","5,651",1,"2,310",475,204,"3,526","2,604",202,33,3,
JAWA TIMUR,KAB. JEMBER,SUKOWONO,SUMBERWARU,"5,148","2,031",7,6,"4,269","3,947","3,947","5,144",3,0,1,0,0,0,"2,504","2,644","1,725","3,029",92,302,309,356,387,305,378,353,362,358,412,357,362,333,293,213,159,211,67,"4,839",70,"4,906",65,"4,976",64,"5,041",43,"5,105",1,1,1,1,1,137,61,448,234,175,350,"1,310",567,"2,419",464,310,13,15,45,5,0,12,13,11,271,0,0,0,0,0,1,1,0,"4,839","1,331",1,394,4,19,"1,194",638,21,3,,
JAWA TIMUR,KAB. JEMBER,SUMBERSARI,TEGALGEDE,"9,733","3,196",56,25,"8,621","7,338","7,338","9,568",94,43,24,3,0,1,"4,797","4,936","3,959","5,088",219,467,614,755,740,661,760,755,786,728,701,677,671,560,451,335,246,293,152,"9,119",141,"9,271",124,"9,412",117,"9,536",80,"9,653",2,2,1,1,1,293,168,890,437,399,698,"2,792","1,182","1,863","1,002","1,669",47,197,789,165,27,138,214,92,332,16,0,7,0,1,0,4,5,"8,924","2,886",,"1,108",109,99,"1,843","1,477",99,17,1,
